FormID,EN,ES,FR,IT,DE,PL,RU,ZH,JA,CZ,PT,TR,KR,UK,HU
000134AA,Thistle Branch,Ramita de cardo,Tige de chardon,Ramo di cardo,Distelzweig,Gałązka ostu,Ветка чертополоха,薊叢,シッスルの枝,Stonek bodláku,Ramo de Cardo,Deve Dikeni,엉겅퀴 줄기,Гілочка будяка,Bogáncshajtás
0001B3BD,Snowberries,Sinforicarpos,Givreboises,Baccaneve,Schneebeeren,Śnieżynki,Снежные ягоды,雪漿果,スノーベリー,Sněhulka,Amoras da Neve,Kar Üzümü,인동딸기,Сніжниці,Hóbogyó
0001BCBC,Jarrin Root,Raíz de jarrin,Racine de jarrin,Radice di jarrin,Jarrinwurzel,Korzeń jarrin,Корень жарницы,加林根,ジャリンの根,Jarrinský kořen,Raiz Jarrin,Musallat Kökü,자린 뿌리,Корінь подрази,Jarringyökér
00023D6F,Pine Thrush Egg,Huevo de zorzal,Oeuf de grive,Uovo di tordo,Drosselei,Jajo drozda,Яйцо соснового дрозда,松木畫眉蛋,パイン・スラッシュの卵,Vejce drozda sosnového,Ovo de Tordo Pinho,Ardıçkuşu Yumurtası,개똥지빠귀 알,Яйце соснового дрозда,Fenyõrigó-tojás
00023D77,Chicken's Egg,Huevo de gallina,Oeuf de poule,Uovo di gallina,Hühnerei,Jajo kurczaka,Куриное яйцо,雞蛋,鶏の卵,Slepičí vejce,Ovo de Galinha,Tavuk Yumurtası,달걀,Яйце курки,Tyúktojás
0002F44C,Nightshade,Belladama,Obscurcine,Belladonna,Tollkirsche,Psianka,Паслен,龍葵,ベラドンナ,Rulík,Belladama,İtüzümü,나이트쉐이드,Паслін,Csucsor
00034CDD,Bone Meal,Polvo de huesos,Farine d'os,Farina d'ossa,Knochenmehl,Mączka kostna,Костная мука,骨粉,骨の粉,Rozdrcené kosti,Pó de Osso,Kemik Tozu,뼛가루,Кісткове борошно,Csontliszt
00034CDF,Salt Pile,Montón de sal,Tas de sel,Mucchio di sali,Salz,Sól,Соль,鹽堆,塩,Hromádka soli,Porção de Sal,Tuz Yığını,소금 가루,Сіль,Marék só
00034D22,Garlic,Ajo,Ail,Aglio,Knoblauch,Czosnek,Чеснок,大蒜,ニンニク,Česnek,Alho,Sarımsak,마늘,Часничина,Fokhagyma
00034D31,Elves Ear,Oreja de elfo,Oreille d'Elfe,Orecchio di elfo,Elfenohr,Elfie ucho,Эльфийское ухо,精靈耳,エルフイヤー・リーフ,Elfí ucho,Orelha de Elfo,Elf Kulağı,엘프 잎사귀,Ельфові вуха,Elf fül
00034D32,Frost Mirriam,Mirriam de escarcha,Hivernelle,Mirra del gelo,Eismirriam,Mroźna Mirriam,Морозная мириам,寒霜甘草,フロスト・ミリアム,Ledová Miriam,Mirriam do Gelo,Kış Maydanozu,겨울초,Морозна міріям,Mirriam fagyfû
0003AD56,Chaurus Eggs,Huevos de cauro,Oeufs de chaurus,Uova di chaurus,Chauruseier,Jaja chaurusa,Яйцо коруса,巢蟻的卵,シャウラスの卵,Vajíčko chaura,Ovos de Chaurus,Çıyan Yumurtaları,챠루스 알,Яйце хоруса,Chaurus tojás
0003AD5B,Daedra Heart,Corazón de daedra,Coeur de Daedra,Cuore di daedra,Daedraherz,Serce daedry,Сердце даэдра,魔族的心臟,デイドラの心臓,Srdce daedry,Coração de Daedra,Daedra Kalbi,데이드라 심장,Серце даедра,Daedra szív
0003AD5D,Falmer Ear,Oreja de falmer,Oreille de Falmer,Orecchio di Falmer,Falmerohr,Ucho Falmera,Ухо фалмера,伐莫族的耳朵,ファルメルの耳,Falmeří ucho,Orelha de Falmer,Yitikelf Kulağı,팔머의 귀,Вухо фалмера,Falmer fül
0003AD5E,Fire Salts,Sales de fuego,Sels de feu,Sali del fuoco,Feuersalze,Sole ognia,Огненная соль,火鹽,炎の塩鉱石,Ohnivá sůl,Sais de Fogo,Ateş Tuzları,화염 소금,Солі вогню,Tûzsó
0003AD5F,Frost Salts,Sales de escarcha,Sels de givre,Sali del gelo,Frostsalze,Sole mrozu,Морозная соль,寒霜鹽,氷の塩鉱石,Ledové soli,Sais de Gelo,Ayaz Tuzu,냉기 소금,Солі морозу,Jégsó
0003AD60,Void Salts,Sales de vacío,Sels du Néant,Sali del vuoto,Salze der Leere,Sole pustki,Соль пустоты,虛無鹽,虚無の塩,Soli zapomnění,Sais Nulos,Hiçlik Tuzu,공허 소금,Солі порожнечі,Légsó
0003AD61,Briar Heart,Corazón de espino,Coeur de ronces,Cuore di rovo,Dornenherz,Serce róży,Вересковое сердце,荊棘之心,ブライア・ハート,Šípkové srdce,Coração de Espinhos,Funda Kalp,찔레 심장,Шипшинове серце,Hangaszív
0003AD63,Ectoplasm,Ectoplasma,Ectoplasme,Ectoplasma,Ektoplasma,Ektoplazma,Эктоплазма,靈質,エクトプラズム,Ektoplazma,Ectoplasma,Ektoplazma,심령체,Ектоплазма,Ektoplazma
0003AD64,Giant's Toe,Dedo del gigante,Orteil de géant,Dito di gigante,Riesenzeh,Paluch giganta,Палец великана,巨人的腳趾,巨人のつま先,Prst obra,Dedo de Gigante,Dev Parmağı,거인의 발가락,Палець велета,Óriás lábujj
0003AD66,Hagraven Feathers,Plumas de bruja cuervo,Plumes d'harfreuse,Piume di hagraven,Hexenrabenfedern,Pióra wiedźmokruka,Перья ворожеи,烏鴉鬼婆的羽毛,ハグレイヴンの羽,Pera vranice,Penas de Bruxa Harpia,Ucube Tüyleri,해그레이븐 깃털,Пір'я відьми-ворони,Hollóbanya tollak
0003AD6A,Ice Wraith Teeth,Dientes de espectro del hielo,Dent de spectre de glace,Dente di spettro del ghiaccio,Eisgeistzähne,Zęby lodowego upiora,Зубы ледяного привидения,冰怨靈的牙,氷の生霊の歯,Zuby ledového přízraku,Dentes de Espectro de Gelo,Buz Hayaleti Dişi,얼음 망령 이빨,Зуби крижаної примари,Jéglidérc fog
0003AD6F,Skeever Tail,Cola de skeever,Queue de ragnard,Coda di skeever,Skeeverschwanz,Ogon ślizgacza,Хвост злокрыса,惡鼠的尾巴,スキーヴァーの尻尾,Ocas kolčaváka,Cauda de Skeever,Sıçan Kuyruğu,스키버 꼬리,Хвіст пацюрви,Sivítófarok
0003AD70,Slaughterfish Scales,Escamas de pez asesino,Écailles de poisson carnassier,Squame di pesce macellaio,Schlachterfischschuppen,Łuski zębacza,Чешуя рыбы-убийцы,食人魚鱗,スローターフィッシュの鱗,Šupiny vraždomilky,Escamas de Peixe Assassino,Katilbalık Pulları,식인물고기 비늘,Луска риби-вбивці,Mészároshal-pikkelyek
0003AD71,Taproot,Raíz nudosa,Racine noueuse,Fittone,Pfahlwurzel,Korzeń palowy,Стержневой корень,直立根,主根,Mízový kořen,Taproot,Burgukök,곧은 뿌리,Стрижневий корінь,Szívgyökér
0003AD72,Troll Fat,Grasa de trol,Graisse de troll,Grasso di troll,Trollfett,Łój trolla,Жир тролля,巨魔脂肪,トロールの脂肪,Trollí sádlo,Gordura de Troll,Trol Yağı,트롤 지방,Тролячий лій,Trollháj
0003AD73,Glow Dust,Polvo brillante,Poussière luisante,Polvere luminosa,Glühstaub,Lśniącopył ,Светящаяся пыль,光塵,発光する塵,Zářivý prach,Pó Brilhante,Işık Tozu,빛나는 가루,Сяйливий пил,Csillámpor
0003AD76,Vampire Dust,Polvo de vampiro,Poussière de vampire,Polvere di vampiro,Vampirstaub,Wampirzy pył ,Прах вампира,吸血鬼灰燼,吸血鬼の遺灰,Upíří prach,Pó de Vampiro,Vampir Tozu,흡혈귀 가루,Порох вампіра,Vámpírpor
0003F7F8,Tundra Cotton,Cardo lanudo,Coton sauvage,Cotone della tundra,Tundrabaumwolle,Śnieżna bawełna,Пушица,苔原棉花,ツンドラの綿,Bavlník tundrový,Algodão da Tundra,Tundra Pamuğu,툰드라 목화,Тундровий бавовник,Tundragyapot
00045C28,Lavender,Lavanda,Lavande,Lavanda,Lavendel,Lawenda,Лаванда,薰衣草,ラベンダー,Levandule,Lavanda,Lavanta,라벤더,Лаванда,Levendula
0004B0BA,Wheat,Trigo,Blé,Grano,Weizen,Pszenica,Пшеница,小麥,小麦,Pšenice,Trigo,Buğday,밀,Пшениця,Búza
0004DA00,Fly Amanita,Amanita muscaria,Amanite tue-mouches,Amanita muscaria,Rauer Wulstling,Muchomor czerwony,Мухомор,毒蠅傘,ベニテングタケ,Muchomůrka červená,Amanita Voadora,Sinek Mantarı,광대 버섯,Маремуха,Légyölõ galóca
0004DA20,Bleeding Crown,Corona sangrante,Couronne sanglante,Corona insanguinata,Blutende Krone,Krwawiąca korona,Кровавый венец,鮮血王冠,出血の冠キノコ,Krevnička,Coroa Sangrenta,Kanayan Taç,붉은 광대 버섯,Кровотечна корона,Vérzõ koronagomba
0004DA22,White Cap,Champiñón,Chapeau-blanc,Fungo bianco,Weißkappe,Biały kapelusz,Белянка,白帽傘菌,白かさキノコ,Bílá čapka,Chapéu Branco,Akşapkalı Mantar,흰모자 버섯,Білошапка,Fehérkalap
0004DA23,Imp Stool,Heces de diablillo,Pied-de-lutin,Ceppo di folletto,Koboldschemel,Stolec chochlika,Бесовский гриб,小惡魔糞,木椅子キノコ,Ďáblíkova stolička,Banco de Imp,İblis Oturağı,임프 버섯,Бісова поганка,Koboldhajtás
0004DA24,Namira's Rot,Putrefacción de Namira,Truffe de Namira,Miceto di Namira,Namiras Fäulnis,Gnilec Namiry,Гниль Намиры,娜米拉腐菌,ナミラキノコ,Namiřin kořen,Namira Podre,Namira Mantarı,나미라의 곰팡이,Намірине гнилля,Namira korhadékgombája
0004DA25,Blisterwort,Ranúnculo encorvado,Cloquerille,Ranuncolo,Blasenpilz,Pęcherzyca,Лютый гриб,氣泡草,ブリスターワート,Puchýřnice,Blisterwort,Kabarık Mantar,왕그물 버섯,Пухирянка,Boglárhólyag
0004DA73,Torchbug Thorax,Tórax de luciérnaga,Thorax de Flammouche,Addome di lucciola,Fackelwürmchenbrust,Tułów pochodnika,Торакс светлячка,螢火蟲的胸殼,ホタルの腹部,Tělo světlušky,Tórax de Vaga-lume,Ateşböceği Gövdesi,형광벌레 가슴,Черевце блищака,Szentjánosbogár tor
0005076E,Juniper Berries,Frutos de enebro,Genièvres,Bacche di ginepro,Wacholderbeeren,Jagody jałowca,Ягоды можжевельника,刺柏漿果,ジュニパーベリー,Jalovcové bobule,Frutas de Juniper,Ardıç Üzümü,향나무 열매,Ялівцеві ягоди,Borókabogyó
000516C8,Deathbell,Campanilla de la muerte,Grelot-de-la-mort,Campanula mortale,Todesglockenblume,Dzwonecznik Kostuchy ,Ядовитый колокольчик,喪鐘花,デスベル,Smrtnička,Sino da Morte,Ecelçanı,데스벨,Жалобний дзвіночок,Halálharang
